dataset_accession,gene_id,probe_id,probe_variance,gene_symbol,gene_symbol_raw,gene_title,probes_per_gene
GSE63061,664709,ILMN_2220283,0.0351601873901287,HNRNPA1P10,HNRNPA1P10,heterogeneous nuclear ribonucleoprotein A1 pseudogene 10,1
GSE63061,6648,ILMN_2406501,0.223541630351991,SOD2,SOD2,"superoxide dismutase 2, mitochondrial",3
GSE63061,665,ILMN_1718961,0.232247750853415,BNIP3L,BNIP3L,BCL2 interacting protein 3 like,2
GSE63061,6650,ILMN_1763739,0.0547747843875937,CAPN15,CAPN15,calpain 15,1
GSE63061,6651,ILMN_2247664,0.0585855253520489,SON,SON,SON DNA binding protein,6
GSE63061,6652,ILMN_2285375,0.0107427647589596,SORD,SORD,sorbitol dehydrogenase,2
GSE63061,6653,ILMN_1759818,0.236427596870808,SORL1,SORL1,sortilin related receptor 1,2
GSE63061,6654,ILMN_1767135,0.0176479912435101,SOS1,SOS1,SOS Ras/Rac guanine nucleotide exchange factor 1,1
GSE63061,6655,ILMN_1764414,0.0136406893674969,SOS2,SOS2,SOS Ras/Rho guanine nucleotide exchange factor 2,1
GSE63061,6658,ILMN_1653055,0.00141592437957152,SOX3,SOX3,SRY-box 3,1
GSE63061,6659,ILMN_1815745,0.0376073024034325,SOX4,SOX4,SRY-box 4,1
GSE63061,666,ILMN_1730032,0.0304854242188111,BOK,BOK,"BOK, BCL2 family apoptosis regulator",1
GSE63061,6665,ILMN_1784217,0.00312599505821633,SOX15,SOX15,SRY-box 15,1
GSE63061,6666,ILMN_1736974,0.046488662890588,SOX12,SOX12,SRY-box 12,1
GSE63061,6667,ILMN_1676010,0.0541213995751921,SP1,SP1,Sp1 transcription factor,1
GSE63061,6668,ILMN_1666482,0.057702089539655,SP2,SP2,Sp2 transcription factor,1
GSE63061,667,ILMN_2238302,0.00100103074869397,DST,DST,dystonin,2
GSE63061,6670,ILMN_1756942,0.113734403579905,SP3,SP3,Sp3 transcription factor,3
GSE63061,6671,ILMN_2145997,0.0553858767165153,SP4,SP4,Sp4 transcription factor,2
GSE63061,6672,ILMN_2390586,0.0499192923266854,SP100,SP100,SP100 nuclear antigen,3
GSE63061,6674,ILMN_2367681,0.0115741879054676,SPAG1,SPAG1,sperm associated antigen 1,3
GSE63061,6675,ILMN_1742461,0.0139375177541867,UAP1,UAP1,UDP-N-acetylglucosamine pyrophosphorylase 1,1
GSE63061,6678,ILMN_1796734,0.0145675198534777,SPARC,SPARC,secreted protein acidic and cysteine rich,1
GSE63061,668,ILMN_1776596,0.00193122199443599,FOXL2,FOXL2,forkhead box L2,1
GSE63061,6683,ILMN_1796738,0.0482677342255274,SPAST,SPAST,spastin,3
GSE63061,6687,ILMN_1754529,0.0426543952572563,SPG7,SPG7,"SPG7, paraplegin matrix AAA peptidase subunit",3
GSE63061,6688,ILMN_1696463,0.179275281732632,SPI1,SPI1,Spi-1 proto-oncogene,2
GSE63061,6689,ILMN_2143314,0.0519669576854716,SPIB,SPIB,Spi-B transcription factor,1
GSE63061,669,ILMN_2352921,0.297666476732803,BPGM,BPGM,bisphosphoglycerate mutase,3
GSE63061,6690,ILMN_1787266,0.00066685856682428,SPINK1,SPINK1,"serine peptidase inhibitor, Kazal type 1",1
GSE63061,6691,ILMN_1763516,0.00303713855872111,SPINK2,SPINK2,"serine peptidase inhibitor, Kazal type 2",1
GSE63061,6692,ILMN_2375992,0.00620258702812842,SPINT1,SPINT1,"serine peptidase inhibitor, Kunitz type 1",2
GSE63061,6693,ILMN_1801040,0.0592520651296896,SPN,SPN,sialophorin,3
GSE63061,6695,ILMN_1746013,0.00185216955770027,SPOCK1,SPOCK1,"sparc/osteonectin, cwcv and kazal-like domains proteoglycan (testican) 1",1
GSE63061,6696,ILMN_1651354,0.0110744094313462,SPP1,SPP1,secreted phosphoprotein 1,2
GSE63061,6698,ILMN_1716591,0.0255553581037455,SPRR1A,SPRR1A,small proline rich protein 1A,1
GSE63061,6699,ILMN_1711174,0.00377121880060016,SPRR1B,SPRR1B,small proline rich protein 1B,1
GSE63061,670,ILMN_1657746,0.0090022892711683,BPHL,BPHL,biphenyl hydrolase like,1
