gene_symbol,probe_id,logFC,AveExpr,t,P.Value,adj.P.Val,B,gene_symbol_raw,gene_id,gene_title,is_annotated_gene,abs_logFC,direction,main_candidate,nominal_candidate
COX7C,ILMN_1798189,-0.767289927500838,10.3340180034859,-5.67156226685917,3.94146712387409e-08,3.26230892270201e-06,8.11282074536451,COX7C,1350,cytochrome c oxidase subunit 7C,TRUE,0.767289927500838,AD_down,TRUE,TRUE
DDX1,ILMN_2182750,-0.230500888310017,9.27918822208434,-5.67001485865667,3.97309059758351e-08,3.28139607501283e-06,8.10511060956459,DDX1,1653,DEAD/H-box helicase 1,TRUE,0.230500888310017,AD_down,TRUE,TRUE
FGL2,ILMN_1693009,-0.322668476184562,11.8765388464659,-5.66472649324565,4.08304539199076e-08,3.3433860152109e-06,8.07877291968338,FGL2,10875,fibrinogen like 2,TRUE,0.322668476184562,AD_down,TRUE,TRUE
RPL5,ILMN_2087080,-0.430325384849014,10.7487182834659,-5.66372437256123,4.10421329548394e-08,3.34641833850076e-06,8.07378417567178,RPL5,6125,ribosomal protein L5,TRUE,0.430325384849014,AD_down,TRUE,TRUE
RNA28S5,ILMN_1733559,1.04242152836733,10.2533602922129,5.66282078512034,4.12339162512943e-08,3.35491749168174e-06,8.06928652946408,RNA28S5,100008589,"RNA, 28S ribosomal 5",TRUE,1.04242152836733,AD_up,TRUE,TRUE
TIMM23,ILMN_1679555,-0.229330104142085,9.29468714846586,-5.655326818836,4.28585367458591e-08,3.4650313189342e-06,8.03200622161633,TIMM23,100287932,translocase of inner mitochondrial membrane 23,TRUE,0.229330104142085,AD_down,TRUE,TRUE
LSM1,ILMN_2218450,-0.340616933120656,9.44676660973092,-5.62854429835176,4.91911026188846e-08,3.9191298015819e-06,7.89908126814745,LSM1,27257,"LSM1 homolog, mRNA degradation associated",TRUE,0.340616933120656,AD_down,TRUE,TRUE
RPL35A,ILMN_1756360,-0.35337284526901,12.5745416830924,-5.62690233157662,4.9607703543376e-08,3.94412119333871e-06,7.8909477865746,RPL35A,6165,ribosomal protein L35a,TRUE,0.35337284526901,AD_down,TRUE,TRUE
HSPA8,ILMN_2413084,-0.257963941761701,11.5697581125703,-5.61155679136862,5.36712498868442e-08,4.23207744478116e-06,7.81502209624001,HSPA8,3312,heat shock protein family A (Hsp70) member 8,TRUE,0.257963941761701,AD_down,TRUE,TRUE
ADAM8,ILMN_1708348,0.252524972552908,10.6199018698795,5.60994941096029,5.41152107528216e-08,4.25832260055365e-06,7.80707845349663,ADAM8,101,ADAM metallopeptidase domain 8,TRUE,0.252524972552908,AD_up,TRUE,TRUE
FRG1,ILMN_1734696,-0.220132327823211,8.06222735155422,-5.59176845548115,5.93928913856142e-08,4.62536829233018e-06,7.71735086965808,FRG1,2483,FSHD region gene 1,TRUE,0.220132327823211,AD_down,TRUE,TRUE
SMC3,ILMN_1718807,-0.201936945339363,8.61420105126105,-5.58746102596775,6.07149681457539e-08,4.70044244299309e-06,7.69612559911971,SMC3,9126,structural maintenance of chromosomes 3,TRUE,0.201936945339363,AD_down,TRUE,TRUE
S100A8,ILMN_1729801,-0.614727161529798,12.7657058524498,-5.58401977926874,6.17917612771069e-08,4.7741610396397e-06,7.67917761529992,S100A8,6279,S100 calcium binding protein A8,TRUE,0.614727161529798,AD_down,TRUE,TRUE
TAX1BP1,ILMN_1793118,-0.409302263052853,9.98442492378313,-5.56900781884217,6.67108816179393e-08,5.11298881072534e-06,7.60533890229379,TAX1BP1,8887,Tax1 binding protein 1,TRUE,0.409302263052853,AD_down,TRUE,TRUE
CEBPZ,ILMN_1744147,-0.315623263353229,8.6801970568996,-5.5542197862652,7.19288950927639e-08,5.45833488662356e-06,7.53275218517818,CEBPZ,10153,CCAAT/enhancer binding protein zeta,TRUE,0.315623263353229,AD_down,TRUE,TRUE
UBE2E1,ILMN_1806778,-0.319656730332649,9.60015288629317,-5.55320168008153,7.2302418688074e-08,5.47583653945528e-06,7.52776034034962,UBE2E1,7324,ubiquitin conjugating enzyme E2 E1,TRUE,0.319656730332649,AD_down,TRUE,TRUE
PSMC6,ILMN_1655316,-0.381236659183769,8.50432330083534,-5.5438354914937,7.58285599430848e-08,5.66452646030974e-06,7.4818705864718,PSMC6,5706,"proteasome 26S subunit, ATPase 6",TRUE,0.381236659183769,AD_down,TRUE,TRUE
GBA,ILMN_2364110,0.218699492843149,9.52481389920884,5.52857157626612,8.1937090228912e-08,6.05008318256718e-06,7.40721377019474,GBA,2629,glucosylceramidase beta,TRUE,0.218699492843149,AD_up,TRUE,TRUE
NBEAL2,ILMN_1660629,0.269263723774575,9.31003999422892,5.52650511909883,8.28000638667024e-08,6.10204624519187e-06,7.3971188871049,NBEAL2,23218,neurobeachin like 2,TRUE,0.269263723774575,AD_up,TRUE,TRUE
COMMD3,ILMN_1690392,-0.328891973862851,9.73806887681928,-5.52272157023083,8.4403116461563e-08,6.20824612099811e-06,7.37864341789772,COMMD3,23412,COMM domain containing 3,TRUE,0.328891973862851,AD_down,TRUE,TRUE
C14orf159,ILMN_1721106,0.208848200996031,10.7636590987831,5.51901183713878,8.60042300966319e-08,6.30182429400215e-06,7.36053795557942,C14orf159,80017,chromosome 14 open reading frame 159,TRUE,0.208848200996031,AD_up,TRUE,TRUE
SNRNP70,ILMN_1732053,0.214818774120718,11.3319057308434,5.49702351208941,9.61196236354882e-08,7.0028445189338e-06,7.25341779609765,SNRNP70,6625,small nuclear ribonucleoprotein U1 subunit 70,TRUE,0.214818774120718,AD_up,TRUE,TRUE
RPL12,ILMN_1653469,-0.257195024354915,11.7677945329719,-5.49036297697613,9.94060452979504e-08,7.20120693366362e-06,7.22103555683698,RPL12,6136,ribosomal protein L12,TRUE,0.257195024354915,AD_down,TRUE,TRUE
MBD6,ILMN_1746012,0.285615920011688,10.4641547893574,5.46854133472001,1.10957985695322e-07,7.94488841873794e-06,7.11515766601912,MBD6,114785,methyl-CpG binding domain protein 6,TRUE,0.285615920011688,AD_up,TRUE,TRUE
SH2D1A,ILMN_1705892,-0.223526299008981,8.16470435836948,-5.46824571805215,1.11123119681737e-07,7.94488841873794e-06,7.11372560541318,SH2D1A,4068,SH2 domain containing 1A,TRUE,0.223526299008981,AD_down,TRUE,TRUE
SET,ILMN_1742238,-0.218243021709242,9.46217145414056,-5.45624024937215,1.18035445702473e-07,8.37658213001881e-06,7.05561848210332,SET,6418,SET nuclear proto-oncogene,TRUE,0.218243021709242,AD_down,TRUE,TRUE
MRPL3,ILMN_1713143,-0.35913716896785,8.75357858916466,-5.45104988768185,1.21151854946496e-07,8.53452460525665e-06,7.0305277929452,MRPL3,11222,mitochondrial ribosomal protein L3,TRUE,0.35913716896785,AD_down,TRUE,TRUE
RAB24,ILMN_1799765,0.241141405437041,8.98790139363855,5.4254057199035,1.37762895070125e-07,9.48962300698441e-06,6.90683617362424,RAB24,53917,"RAB24, member RAS oncogene family",TRUE,0.241141405437041,AD_up,TRUE,TRUE
VPS29,ILMN_1704619,-0.329614271854177,9.65686680213655,-5.41930427250733,1.42030261210607e-07,9.71943512520154e-06,6.87747395044633,VPS29,51699,"VPS29, retromer complex component",TRUE,0.329614271854177,AD_down,TRUE,TRUE
DGKQ,ILMN_1793017,0.215765044456504,9.15236813021285,5.4104523189438,1.48450820964487e-07,1.00511172455849e-05,6.83492149709298,DGKQ,1609,diacylglycerol kinase theta,TRUE,0.215765044456504,AD_up,TRUE,TRUE
OSCAR,ILMN_1741917,0.277341788405252,9.87066118163855,5.40810758483914,1.50198287257627e-07,1.01514969387774e-05,6.82365922236716,OSCAR,126014,"osteoclast associated, immunoglobulin-like receptor",TRUE,0.277341788405252,AD_up,TRUE,TRUE
CISD1,ILMN_2122952,-0.222426159792895,8.9209889941004,-5.40643899812454,1.51454011470483e-07,1.02183461753025e-05,6.81564696957465,CISD1,55847,CDGSH iron sulfur domain 1,TRUE,0.222426159792895,AD_down,TRUE,TRUE
RSL1D1,ILMN_1723729,-0.230458316605828,9.58615614518072,-5.4028226453817,1.54210719429472e-07,1.03753533375623e-05,6.79828856723836,RSL1D1,26156,ribosomal L1 domain containing 1,TRUE,0.230458316605828,AD_down,TRUE,TRUE
ACTR6,ILMN_1697585,-0.233571452187077,7.97636519378715,-5.37534577648385,1.76811349711416e-07,1.17430927966047e-05,6.66669895792129,ACTR6,64431,ARP6 actin-related protein 6 homolog,TRUE,0.233571452187077,AD_down,TRUE,TRUE
ZNF302,ILMN_2307450,-0.240421272311262,8.06829394942169,-5.36798028757557,1.83397817281367e-07,1.21384648598559e-05,6.6315147231053,ZNF302,55900,zinc finger protein 302,TRUE,0.240421272311262,AD_down,TRUE,TRUE
NDUFA4,ILMN_1751258,-0.572115077397804,9.77860271013655,-5.36296332846656,1.88020128380879e-07,1.24229437238139e-05,6.60757098082081,NDUFA4,4697,"NDUFA4, mitochondrial complex associated",TRUE,0.572115077397804,AD_down,TRUE,TRUE
UBL5,ILMN_2340065,-0.265220459736284,9.11318437090361,-5.36151766326315,1.8937296849008e-07,1.24907932848138e-05,6.60067473489617,UBL5,59286,ubiquitin like 5,TRUE,0.265220459736284,AD_down,TRUE,TRUE
HSPD1,ILMN_2381397,-0.278574729987995,9.60907580568675,-5.35801770716695,1.92687512641061e-07,1.26658162254387e-05,6.58398499832558,HSPD1,3329,heat shock protein family D (Hsp60) member 1,TRUE,0.278574729987995,AD_down,TRUE,TRUE
DEF8,ILMN_1767509,0.23252743328657,11.085874981004,5.35750780915535,1.93175082425266e-07,1.26761224464059e-05,6.58155423920632,DEF8,54849,differentially expressed in FDCP 8 homolog,TRUE,0.23252743328657,AD_up,TRUE,TRUE
PRICKLE4,ILMN_1695868,-0.235736004555624,9.37053234121285,-5.35171440062931,1.98799743714535e-07,1.3000689042028e-05,6.55394903603474,PRICKLE4,29964,prickle planar cell polarity protein 4,TRUE,0.235736004555624,AD_down,TRUE,TRUE
ZNHIT3,ILMN_1812478,-0.364759951316087,9.22387667748996,-5.32879178691812,2.22657658409797e-07,1.44621809925089e-05,6.4449558888165,ZNHIT3,9326,zinc finger HIT-type containing 3,TRUE,0.364759951316087,AD_down,TRUE,TRUE
SUB1,ILMN_1736054,-0.212457430688011,7.9308104025502,-5.3252918421572,2.26537155592867e-07,1.46397249184314e-05,6.42834682228892,SUB1,10923,"SUB1 homolog, transcriptional regulator",TRUE,0.212457430688011,AD_down,TRUE,TRUE
PPP2R3C,ILMN_1662617,-0.248938097325816,9.30276144388353,-5.32085965349606,2.31544375261125e-07,1.47887392479281e-05,6.4073261727882,PPP2R3C,55012,protein phosphatase 2 regulatory subunit B''gamma,TRUE,0.248938097325816,AD_down,TRUE,TRUE
TMEM8A,ILMN_1741371,0.231330906710467,9.68948496703614,5.31516179700891,2.38139730936325e-07,1.51594531045546e-05,6.380323181736,TMEM8A,58986,transmembrane protein 8A,TRUE,0.231330906710467,AD_up,TRUE,TRUE
TMCO1,ILMN_1793829,-0.447370436701963,9.17689206498795,-5.31385000874491,2.39683807818904e-07,1.51820874103075e-05,6.37410966868147,TMCO1,54499,transmembrane and coiled-coil domains 1,TRUE,0.447370436701963,AD_down,TRUE,TRUE
APLP2,ILMN_1710482,0.222735891430411,9.31136578678313,5.31288171937405,2.40829797611551e-07,1.52295041321285e-05,6.36952397770271,APLP2,334,amyloid beta precursor like protein 2,TRUE,0.222735891430411,AD_up,TRUE,TRUE
HELZ2,ILMN_1787509,0.301582902138301,10.4256140383815,5.30912832328856,2.45322559148131e-07,1.54880578446041e-05,6.3517546499005,HELZ2,85441,helicase with zinc finger 2,TRUE,0.301582902138301,AD_up,TRUE,TRUE
PPA1,ILMN_1805827,-0.30844950766569,9.69250685514056,-5.30752380890406,2.4726789823023e-07,1.55851980197021e-05,6.34416159624634,PPA1,5464,pyrophosphatase (inorganic) 1,TRUE,0.30844950766569,AD_down,TRUE,TRUE
CCDC59,ILMN_1662318,-0.237632521349972,9.2521863045261,-5.30652498984012,2.48486444929972e-07,1.56362849632289e-05,6.33943579767346,CCDC59,29080,coiled-coil domain containing 59,TRUE,0.237632521349972,AD_down,TRUE,TRUE
HSPH1,ILMN_1712888,-0.234823267530886,8.61746226453414,-5.30519799548733,2.50114392064735e-07,1.57129241519751e-05,6.33315836639795,HSPH1,10808,heat shock protein family H (Hsp110) member 1,TRUE,0.234823267530886,AD_down,TRUE,TRUE
SLC15A4,ILMN_1679731,0.251622435989464,10.6412862770281,5.2853989522199,2.75670417120965e-07,1.70390995563059e-05,6.23964576533241,SLC15A4,121260,solute carrier family 15 member 4,TRUE,0.251622435989464,AD_up,TRUE,TRUE
RPL39,ILMN_1737015,-0.587798871361716,11.931282138759,-5.28448523105831,2.76909116265506e-07,1.70881016965004e-05,6.23533688525326,RPL39,6170,ribosomal protein L39,TRUE,0.587798871361716,AD_down,TRUE,TRUE
POLE4,ILMN_1660063,-0.254041112471941,9.91477098569879,-5.28398998493431,2.77582761965111e-07,1.71021328039019e-05,6.23300167601768,POLE4,56655,"DNA polymerase epsilon 4, accessory subunit",TRUE,0.254041112471941,AD_down,TRUE,TRUE
RBX1,ILMN_1666670,-0.397755788455287,8.98578380104819,-5.26822263409994,2.99882067770262e-07,1.8328677194724e-05,6.15874565892423,RBX1,9978,ring-box 1,TRUE,0.397755788455287,AD_down,TRUE,TRUE
CMC2,ILMN_1783333,-0.277249530188643,9.02874343886345,-5.25548595816031,3.19156936345337e-07,1.94447251424896e-05,6.09889151733078,CMC2,56942,C-X9-C motif containing 2,TRUE,0.277249530188643,AD_down,TRUE,TRUE
LRCH4,ILMN_1654518,0.253275747433913,10.0400884074859,5.25174784413919,3.25038793332862e-07,1.97403116293216e-05,6.08134670637303,LRCH4,4034,leucine rich repeats and calponin homology domain containing 4,TRUE,0.253275747433913,AD_up,TRUE,TRUE
LILRB3,ILMN_1784884,0.271677513865183,12.5283907383936,5.22453180610009,3.71152238187098e-07,2.21892294411949e-05,5.95390867073616,LILRB3,11025,leukocyte immunoglobulin like receptor B3,TRUE,0.271677513865183,AD_up,TRUE,TRUE
KRCC1,ILMN_1745620,-0.20120255813683,8.06263032731727,-5.22265634246082,3.74553908846156e-07,2.23577179046766e-05,5.94514635690614,KRCC1,51315,lysine rich coiled-coil 1,TRUE,0.20120255813683,AD_down,TRUE,TRUE
TBXAS1,ILMN_2282641,0.218255958612878,10.8109629760442,5.20804486118097,4.02112585169953e-07,2.38910984323767e-05,5.87696649496388,TBXAS1,6916,thromboxane A synthase 1,TRUE,0.218255958612878,AD_up,TRUE,TRUE
