gene_id,gene_symbol,gene_title,s3_rank,s3_probe_id,s3_logFC,s3_abs_logFC,s3_adj.P.Val,s3_P.Value,s3_direction,gse63061_validation_gene_symbol,gse63061_validation_logFC,gse63061_validation_p_value,gse63061_validation_adj_p_value,gse63061_direction_concordant,gse63061_nominal_concordant,gse63061_fdr_concordant,gse63061_auc_oriented,gse63061_mapped,gse85426_validation_gene_symbol,gse85426_validation_logFC,gse85426_validation_p_value,gse85426_validation_adj_p_value,gse85426_direction_concordant,gse85426_nominal_concordant,gse85426_fdr_concordant,gse85426_auc_oriented,gse85426_mapped,gse140829_validation_gene_symbol,gse140829_validation_logFC,gse140829_validation_p_value,gse140829_validation_adj_p_value,gse140829_direction_concordant,gse140829_nominal_concordant,gse140829_fdr_concordant,gse140829_auc_oriented,gse140829_mapped,gse63061_reversed,gse85426_reversed,gse140829_reversed,cross_mapped_count,cross_direction_count,cross_nominal_count,cross_fdr_count,cross_reversal_count,cross_max_auc,cross_min_auc,near_cohort_anchor,near_cohort_nominal,stable_strict,stable_directional,unstable_reversal,unstable_vanish,unstable_primary,transportability_class,biological_keyword_category,direction_membership,nominal_membership
153527,ZMAT2,zinc finger matrin-type 2,54,ILMN_1745343,-0.554823901069102,0.554823901069102,4.59425892315889e-11,7.79256902054507e-14,AD_down,ZMAT2,-0.232077073449167,9.59236362496576e-09,3.84413972270503e-06,TRUE,TRUE,TRUE,0.67797702136798,TRUE,ZMAT2,0.031907717877261,0.751489561297302,0.940083476043615,FALSE,FALSE,FALSE,0.48641975308642,TRUE,ZMAT2,-0.0556478210710051,0.0544171497890847,0.409588970658237,TRUE,FALSE,FALSE,0.539742402187817,TRUE,FALSE,TRUE,FALSE,2,1,0,0,1,0.539742402187817,0.48641975308642,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,unstable_reversal_and_vanish,other_or_unclassified,GSE63061|GSE140829,GSE63061
6229,RPS24,ribosomal protein S24,60,ILMN_2399893,-0.206663941768457,0.206663941768457,9.15701748057297e-11,1.79212022087306e-13,AD_down,RPS24,-0.636700479521466,4.44672013326314e-08,1.13144323390807e-05,TRUE,TRUE,TRUE,0.698539675722109,TRUE,RPS24,-0.09177498554735,0.546475318059717,0.880929894676622,TRUE,FALSE,FALSE,0.523456790123457,TRUE,RPS24,-0.0615144169944509,0.372336179766157,0.764071309387238,TRUE,FALSE,FALSE,0.534184641171541,TRUE,FALSE,FALSE,FALSE,2,2,0,0,0,0.534184641171541,0.523456790123457,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,unstable_vanish,ribosomal_translation,GSE63061|GSE85426|GSE140829,GSE63061
23256,SCFD1,sec1 family domain containing 1,62,ILMN_1800543,-0.235144091537271,0.235144091537271,9.97517129869051e-11,2.03033077944225e-13,AD_down,SCFD1,-0.0909015734791177,5.6584916063447e-05,0.00207564348855162,TRUE,TRUE,TRUE,0.644851283152582,TRUE,SCFD1,-0.00776505690637975,0.933556932982178,0.988862134974895,TRUE,FALSE,FALSE,0.524135802469136,TRUE,SCFD1,-0.0108211330670561,0.555137572588588,0.855255596727696,TRUE,FALSE,FALSE,0.516254245511887,TRUE,FALSE,FALSE,FALSE,2,2,0,0,0,0.524135802469136,0.516254245511887,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,unstable_vanish,other_or_unclassified,GSE63061|GSE85426|GSE140829,GSE63061
522,ATP5J,"ATP synthase, H+ transporting, mitochondrial Fo complex subunit F6",63,ILMN_2348093,-0.70313017355566,0.70313017355566,1.02735081465051e-10,2.14467055926206e-13,AD_down,ATP5J,-0.357255752965574,3.08303883908377e-10,2.35338631383394e-07,TRUE,TRUE,TRUE,0.710673252442822,TRUE,ATP5J,-0.0685725952651165,0.420209494784618,0.84434561564239,TRUE,FALSE,FALSE,0.549753086419753,TRUE,ATP5J,-0.0567656401139935,0.175763887429515,0.593941506729159,TRUE,FALSE,FALSE,0.536765030214812,TRUE,FALSE,FALSE,FALSE,2,2,0,0,0,0.549753086419753,0.536765030214812,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,unstable_vanish,mitochondrial_oxphos,GSE63061|GSE85426|GSE140829,GSE63061
10094,ARPC3,actin related protein 2/3 complex subunit 3,66,ILMN_1655561,-0.444399561747545,0.444399561747545,1.32835185520225e-10,2.9810098519752e-13,AD_down,ARPC3,-0.237502312067223,1.09105927546785e-08,4.26577565506089e-06,TRUE,TRUE,TRUE,0.691721249865779,TRUE,ARPC3,0.0278271629465328,0.828085376314756,0.964216508543709,FALSE,FALSE,FALSE,0.504753086419753,TRUE,ARPC3,-0.0211692197393412,0.357612702264316,0.753623464655571,TRUE,FALSE,FALSE,0.504896122800053,TRUE,FALSE,TRUE,FALSE,2,1,0,0,1,0.504896122800053,0.504753086419753,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,unstable_reversal_and_vanish,other_or_unclassified,GSE63061|GSE140829,GSE63061
6728,SRP19,signal recognition particle 19,67,ILMN_2192032,-0.285790129529138,0.285790129529138,1.34563041945869e-10,3.05489918305166e-13,AD_down,SRP19,-0.175985258644952,6.11775666456138e-08,1.42127013525969e-05,TRUE,TRUE,TRUE,0.69166756147321,TRUE,SRP19,0.11480351059556,0.310926031670736,0.786328156203405,FALSE,FALSE,FALSE,0.478148148148148,TRUE,SRP19,-0.0119627196935929,0.597152546137018,0.874157838576368,TRUE,FALSE,FALSE,0.520576948524547,TRUE,FALSE,TRUE,FALSE,2,1,0,0,1,0.520576948524547,0.478148148148148,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,unstable_reversal_and_vanish,other_or_unclassified,GSE63061|GSE140829,GSE63061
9551,ATP5J2,"ATP synthase, H+ transporting, mitochondrial Fo complex subunit F2",69,ILMN_2310621,-0.278766491035623,0.278766491035623,1.362090880428e-10,3.16335494906561e-13,AD_down,ATP5J2,-0.114373454894918,8.652230475527e-05,0.00278504527154012,TRUE,TRUE,TRUE,0.623268549339633,TRUE,ATP5J2,-0.0551835852678475,0.445226245769453,0.84965793258924,TRUE,FALSE,FALSE,0.537901234567901,TRUE,ATP5J2,-0.0285540452899221,0.314825044809942,0.721489104268427,TRUE,FALSE,FALSE,0.527634422830929,TRUE,FALSE,FALSE,FALSE,2,2,0,0,0,0.537901234567901,0.527634422830929,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,unstable_vanish,mitochondrial_oxphos,GSE63061|GSE85426|GSE140829,GSE63061
7295,TXN,thioredoxin,70,ILMN_1680314,-0.682802848865062,0.682802848865062,1.53995319865206e-10,3.61661155155486e-13,AD_down,TXN,-0.348365186398453,3.76768880115499e-07,5.6977407058976e-05,TRUE,TRUE,TRUE,0.654300440244819,TRUE,TXN,-0.0338110445752354,0.780184897849837,0.948385861273917,TRUE,FALSE,FALSE,0.517469135802469,TRUE,TXN,0.0474246422713693,0.23610986759097,0.658643945764585,FALSE,FALSE,FALSE,0.458184464734683,TRUE,FALSE,FALSE,TRUE,2,1,0,0,1,0.517469135802469,0.458184464734683,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,unstable_reversal_and_vanish,other_or_unclassified,GSE63061|GSE85426,GSE63061
55339,WDR33,WD repeat domain 33,72,ILMN_1670172,-0.224098458148944,0.224098458148944,2.00212140837823e-10,4.85875713634923e-13,AD_down,WDR33,-0.106112185857395,1.38736592844633e-06,0.000147765729404385,TRUE,TRUE,TRUE,0.666004509824976,TRUE,WDR33,-0.0713995287524631,0.397184238262547,0.830034943227103,TRUE,FALSE,FALSE,0.534444444444445,TRUE,WDR33,-0.0103304465086673,0.566392246176732,0.860216566827097,TRUE,FALSE,FALSE,0.511755105641569,TRUE,FALSE,FALSE,FALSE,2,2,0,0,0,0.534444444444445,0.511755105641569,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,unstable_vanish,other_or_unclassified,GSE63061|GSE85426|GSE140829,GSE63061
91942,NDUFAF2,NADH:ubiquinone oxidoreductase complex assembly factor 2,73,ILMN_1682857,-0.230661186294209,0.230661186294209,2.05339167638074e-10,5.03676263190308e-13,AD_down,NDUFAF2,-0.0702321347504449,0.000693645542152186,0.0119432202370564,TRUE,TRUE,TRUE,0.614248899387952,TRUE,NDUFAF2,-0.00966019441148338,0.937252047053937,0.989547670653862,TRUE,FALSE,FALSE,0.522654320987654,TRUE,NDUFAF2,-0.0364482926786006,0.0919502860050784,0.486758020650063,TRUE,FALSE,FALSE,0.547880552247364,TRUE,FALSE,FALSE,FALSE,2,2,0,0,0,0.547880552247364,0.522654320987654,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,unstable_vanish,mitochondrial_oxphos,GSE63061|GSE85426|GSE140829,GSE63061
