dataset_accession,expression_column,sample_geo_accession,sample_title,diagnosis_clean,n_features,missing_values,missing_fraction,mean,sd,min,q1,median,q3,max,iqr,median_mad_z,iqr_mad_z,qc_flag
GSE63060,4856050048_K,GSM1539198,4856050048_K,AD,38322,0,0,7.9121546022909,0.958719177908719,7.20448891,7.450971181,7.5432298705,7.85378973725,15.04978951,0.40281855625,0,0.717617007568958,pass
GSE63060,4856050046_G,GSM1539199,4856050046_G,AD,38322,0,0,7.912150762308,0.958720972596459,7.20448891,7.45096596975,7.5432298705,7.85378973725,15.04978951,0.4028237675,0,0.717617007568958,pass
GSE63060,4856050059_B,GSM1539200,4856050059_B,AD,38322,0,0,7.91215334199517,0.958719831909743,7.20448891,7.450980283,7.5432298705,7.85378973725,15.04978951,0.40280945425,0,0.717617007568958,pass
GSE63060,4856076030_I,GSM1539201,4856076030_I,AD,38322,0,0,7.91215356591924,0.958719720342838,7.20448891,7.450974448,7.5432298705,7.85378973725,15.04978951,0.402815289249999,0,0.717617007568958,pass
GSE63060,4856050009_K,GSM1539202,4856050009_K,AD,38322,0,0,7.9121538508253,0.958719575483691,7.20448891,7.450974448,7.5432298705,7.85378973725,15.04978951,0.402815289249999,0,0.717617007568958,pass
GSE63060,4856050046_I,GSM1539203,4856050046_I,AD,38322,0,0,7.91215177939265,0.958720554643904,7.20448891,7.45096596975,7.5432298705,7.85378973725,15.04978951,0.4028237675,0,0.717617007568958,pass
GSE63060,4856076009_J,GSM1539204,4856076009_J,AD,38322,0,0,7.91215382560498,0.95871958845556,7.20448891,7.450974448,7.5432298705,7.85378973725,15.04978951,0.402815289249999,0,0.717617007568958,pass
GSE63060,4856050048_D,GSM1539205,4856050048_D,AD,38322,0,0,7.91215387758734,0.958719561732974,7.20448891,7.450974448,7.5432298705,7.85378973725,15.04978951,0.402815289249999,0,0.717617007568958,pass
GSE63060,4856076040_D,GSM1539206,4856076040_D,AD,38322,0,0,7.91215258475025,0.958720194336497,7.20448891,7.45096596975,7.5432298705,7.85378973725,15.04978951,0.4028237675,0,0.717617007568958,pass
GSE63060,4856050047_C,GSM1539207,4856050047_C,AD,38322,0,0,7.91215439988573,0.958719287195804,7.20448891,7.450974448,7.5432298705,7.85378973725,15.04978951,0.402815289249999,0,0.717617007568958,pass
GSE63060,4856050059_E,GSM1539208,4856050059_E,AD,38322,0,0,7.91215297797498,0.958720008992351,7.20448891,7.45096596975,7.5432298705,7.85378973725,15.04978951,0.4028237675,0,0.717617007568958,pass
GSE63060,4856050003_F,GSM1539209,4856050003_F,AD,38322,0,0,7.91214904216489,0.958721585422182,7.20448891,7.450962738,7.54321732,7.85378973725,15.04978951,0.402826999249999,0,0.717617007568958,pass
GSE63060,4856050047_A,GSM1539210,4856050047_A,AD,38322,0,0,7.91215318316771,0.958719909804547,7.20448891,7.450975481,7.54322661,7.85378973725,15.04978951,0.402814256249999,0,0.717617007568958,pass
