dataset_accession,gene_id,probe_id,probe_variance,gene_symbol,gene_symbol_raw,gene_title,is_annotated_gene,probes_per_gene,platform_probe_id
GSE63061,100128191,ILMN_3176746,0.00434257157823727,TMPO-AS1,TMPO-AS1,TMPO antisense RNA 1,TRUE,2,
GSE63061,100128239,ILMN_1846430,0.00131574542003267,LOC100128239,LOC100128239,uncharacterized LOC100128239,TRUE,1,
GSE63061,100128252,ILMN_3268403,0.00671844897877429,ZNF667-AS1,ZNF667-AS1,ZNF667 antisense RNA 1 (head to head),TRUE,1,
GSE63061,100128288,ILMN_3235637,0.0783504053957637,LOC100128288,LOC100128288,uncharacterized LOC100128288,TRUE,1,
GSE63061,100128361,ILMN_3272826,0.00102769746677528,LOC100128361,LOC100128361,uncharacterized LOC100128361,TRUE,1,
GSE63061,100128398,ILMN_3265147,0.00631966405289955,LOC100128398,LOC100128398,uncharacterized LOC100128398,TRUE,1,
GSE63061,100128537,ILMN_1907042,0.0329197972652462,C1orf132,C1orf132,chromosome 1 open reading frame 132,TRUE,1,
GSE63061,100128569,ILMN_3242508,0.00318157038110021,C19orf71,C19orf71,chromosome 19 open reading frame 71,TRUE,1,
GSE63061,100128675,ILMN_3232908,0.00605997206129899,HPN-AS1,HPN-AS1,HPN antisense RNA 1,TRUE,2,
GSE63061,100128731,ILMN_3247452,0.0901620125656231,OST4,OST4,"oligosaccharyltransferase complex subunit 4, non-catalytic",TRUE,1,
GSE63061,100128782,ILMN_1833212,0.00178376518088049,LINC00476,LINC00476,long intergenic non-protein coding RNA 476,TRUE,1,
GSE63061,100128788,ILMN_3258313,0.0019132188509302,SRRM2-AS1,SRRM2-AS1,SRRM2 antisense RNA 1,TRUE,1,
GSE63061,100128811,ILMN_3190247,0.00666773631573274,GPR158-AS1,GPR158-AS1,GPR158 antisense RNA 1,TRUE,1,
GSE63061,100128822,ILMN_3248282,0.00405895424784773,LINC01003,LINC01003,long intergenic non-protein coding RNA 1003,TRUE,3,
GSE63061,100128881,ILMN_3263702,0.00239721877473779,VPS9D1-AS1,VPS9D1-AS1,VPS9D1 antisense RNA 1,TRUE,1,
GSE63061,100128905,ILMN_1876629,0.00127561487237135,LOC100128905,LOC100128905,uncharacterized LOC100128905,TRUE,1,
GSE63061,100128927,ILMN_3239445,0.0194274999786239,ZBTB42,ZBTB42,zinc finger and BTB domain containing 42,TRUE,1,
GSE63061,100128977,ILMN_3247434,0.00123850078299759,MAPT-AS1,MAPT-AS1,MAPT antisense RNA 1,TRUE,1,
GSE63061,100128998,ILMN_1821228,0.00259240183597945,C20orf181,C20orf181,chromosome 20 open reading frame 181,TRUE,1,
GSE63061,100129034,ILMN_3256478,0.0557470833279929,LOC100129034,LOC100129034,uncharacterized LOC100129034,TRUE,1,
GSE63061,100129055,ILMN_3238491,0.0070048874511275,LOC100129055,LOC100129055,cyclin Y like 1 pseudogene,TRUE,1,
GSE63061,100129083,ILMN_3187554,0.000359418203130664,LOC100129083,LOC100129083,uncharacterized LOC100129083,TRUE,1,
GSE63061,100129094,ILMN_3187470,0.0160374261599171,BTNL10,BTNL10,butyrophilin like 10,TRUE,1,
GSE63061,100129128,ILMN_3239950,0.00109802543236078,KHDC1L,KHDC1L,KH domain containing 1 like,TRUE,1,
GSE63061,100129138,ILMN_3258046,0.00175535761347104,LOC100129138,LOC100129138,"THAP domain containing, apoptosis associated protein 3 pseudogene",TRUE,1,
GSE63061,100129387,ILMN_3236965,0.00237997816636806,GABPB1-AS1,GABPB1-AS1,GABPB1 antisense RNA 1,TRUE,1,
GSE63061,100129396,ILMN_3235690,0.00475962429899678,FAM106CP,FAM106CP,"family with sequence similarity 106 member C, pseudogene",TRUE,1,
GSE63061,100129405,ILMN_3238837,0.0021882678682881,MSTO2P,MSTO2P,"misato family member 2, pseudogene",TRUE,1,
GSE63061,100129424,ILMN_3194217,0.0925114988982804,RPL19P12,RPL19P12,ribosomal protein L19 pseudogene 12,TRUE,1,
GSE63061,100129434,ILMN_1883780,0.00624308246374361,LOC100129434,LOC100129434,uncharacterized LOC100129434,TRUE,1,
GSE63061,100129482,ILMN_3300604,0.00172590366045048,ZNF37BP,ZNF37BP,"zinc finger protein 37B, pseudogene",TRUE,1,
GSE63061,100129515,ILMN_1913002,0.0011889302070888,LINC00633,LINC00633,long intergenic non-protein coding RNA 633,TRUE,1,
GSE63061,100129534,ILMN_3248132,0.00312856295804358,LOC100129534,LOC100129534,small nuclear ribonucleoprotein polypeptide N pseudogene,TRUE,1,
GSE63061,100129550,ILMN_3236239,0.0433131968862915,LOC100129550,LOC100129550,uncharacterized LOC100129550,TRUE,1,
GSE63061,100129583,ILMN_3237062,0.00165409662042874,FAM47E,FAM47E,family with sequence similarity 47 member E,TRUE,1,
GSE63061,100129654,ILMN_3271138,0.00417082984627399,TCF24,TCF24,transcription factor 24,TRUE,1,
GSE63061,100129716,ILMN_3235196,0.0186352331024736,ARRDC3-AS1,ARRDC3-AS1,ARRDC3 antisense RNA 1,TRUE,1,
GSE63061,100129726,ILMN_3187435,0.000384825214905777,LINC01126,LINC01126,long intergenic non-protein coding RNA 1126,TRUE,1,
GSE63061,100129792,ILMN_3238757,0.00333057568024234,CCDC152,CCDC152,coiled-coil domain containing 152,TRUE,1,
GSE63061,100129794,ILMN_3273144,0.00380215572602161,SLC25A21-AS1,SLC25A21-AS1,SLC25A21 antisense RNA 1,TRUE,1,
GSE63061,100129827,ILMN_3181347,0.00454933394129882,MRVI1-AS1,MRVI1-AS1,MRVI1 antisense RNA 1,TRUE,1,
GSE63061,100129842,ILMN_3185429,0.00178845507451784,ZNF737,ZNF737,zinc finger protein 737,TRUE,2,
GSE63061,10013,ILMN_1798546,0.125901038734221,HDAC6,HDAC6,histone deacetylase 6,TRUE,1,
GSE63061,100130015,ILMN_3179802,0.00111667965391266,URAHP,URAHP,"urate (hydroxyiso-) hydrolase, pseudogene",TRUE,2,
GSE63061,100130086,ILMN_3239684,0.00236394209332599,HSFX2,HSFX2,"heat shock transcription factor family, X-linked 2",TRUE,1,
GSE63061,100130155,ILMN_1840175,0.0019707620716522,MIR124-2HG,MIR124-2HG,MIR124-2 host gene,TRUE,1,
GSE63061,100130298,ILMN_3270853,0.032502925601888,LOC100130298,LOC100130298,hCG1816373-like,TRUE,2,
GSE63061,100130311,ILMN_1889669,0.00350529537010618,C17orf107,C17orf107,chromosome 17 open reading frame 107,TRUE,2,
GSE63061,100130361,ILMN_3186408,0.00281898320982036,CXorf49,CXorf49,chromosome X open reading frame 49,TRUE,1,
GSE63061,100130417,ILMN_3253404,0.00152262989311374,LOC100130417,LOC100130417,uncharacterized LOC100130417,TRUE,1,
GSE63061,100130449,ILMN_3237564,0.0146906728021182,PP14571,PP14571,uncharacterized LOC100130449,TRUE,1,
GSE63061,100130452,ILMN_3268048,0.00154403564653569,LOC100130452,LOC100130452,uncharacterized LOC100130452,TRUE,1,
GSE63061,100130453,ILMN_1858783,0.00197603446758691,LOC100130453,LOC100130453,uncharacterized LOC100130453,TRUE,1,
GSE63061,100130476,ILMN_3257004,0.00945182359674042,LOC100130476,LOC100130476,uncharacterized LOC100130476,TRUE,1,
GSE63061,100130557,ILMN_3244693,0.0101391748536192,NFYC-AS1,NFYC-AS1,NFYC antisense RNA 1,TRUE,1,
GSE63061,100130613,ILMN_3247835,0.00325424080066169,PRR32,PRR32,proline rich 32,TRUE,1,
GSE63061,100130691,ILMN_3273257,0.0012045068641831,LOC100130691,LOC100130691,uncharacterized LOC100130691,TRUE,1,
GSE63061,100130705,ILMN_1873967,0.00340048388846145,LOC100130705,LOC100130705,uncharacterized LOC100130705,TRUE,2,
GSE63061,100130717,ILMN_3234570,0.0023740102182496,CECR5-AS1,CECR5-AS1,CECR5 antisense RNA 1,TRUE,2,
GSE63061,100130742,ILMN_3247111,0.000599093568808819,LRRC69,LRRC69,leucine rich repeat containing 69,TRUE,1,
GSE63061,100130745,ILMN_1902094,0.00208071738237607,LOC100130745,LOC100130745,uncharacterized LOC100130745,TRUE,1,
GSE63061,100130771,ILMN_3186458,0.000472662613372402,EFCAB10,EFCAB10,EF-hand calcium binding domain 10,TRUE,1,
GSE63061,100130776,ILMN_3273340,0.00657526820011303,AGAP2-AS1,AGAP2-AS1,AGAP2 antisense RNA 1,TRUE,1,
GSE63061,100130798,ILMN_1845347,0.00230275609842557,LOC100130798,LOC100130798,uncharacterized LOC100130798,TRUE,1,
GSE63061,100130872,ILMN_3246479,0.00184346059572346,LOC100130872,LOC100130872,uncharacterized LOC100130872,TRUE,1,
GSE63061,100130880,ILMN_3192203,0.00145867769647935,LOC100130880,LOC100130880,uncharacterized LOC100130880,TRUE,1,
GSE63061,100130889,ILMN_3309634,0.00203317309995626,PSORS1C3,PSORS1C3,psoriasis susceptibility 1 candidate 3 (non-protein coding),TRUE,1,
GSE63061,100130958,ILMN_3187623,0.001006769336162,SYCE1L,SYCE1L,synaptonemal complex central element protein 1 like,TRUE,1,
GSE63061,100130967,ILMN_3262376,0.000910804837388473,C6orf99,C6orf99,chromosome 6 open reading frame 99,TRUE,1,
GSE63061,100130992,ILMN_1879496,0.00125340998716762,LOC100130992,LOC100130992,uncharacterized LOC100130992,TRUE,1,
GSE63061,100131034,ILMN_1910322,0.00214739214936781,LOC100131034,LOC100131034,uncharacterized LOC100131034,TRUE,1,
GSE63061,100131137,ILMN_3242325,0.00571357224305246,BSPH1,BSPH1,binder of sperm protein homolog 1,TRUE,1,
GSE63061,100131187,ILMN_3197097,0.0204514354231295,TSTD1,TSTD1,thiosulfate sulfurtransferase like domain containing 1,TRUE,3,
GSE63061,100131205,ILMN_3214532,0.430174165076204,RPL21P28,RPL21P28,ribosomal protein L21 pseudogene 28,TRUE,2,
GSE63061,100131211,ILMN_3244954,0.00140734363450034,NEMP2,NEMP2,nuclear envelope integral membrane protein 2,TRUE,1,
GSE63061,100131434,ILMN_3236202,0.00255147262336728,LINC00893,LINC00893,long intergenic non-protein coding RNA 893,TRUE,1,
GSE63061,100131439,ILMN_3240165,0.00249316482162372,CD300LD,CD300LD,CD300 molecule like family member d,TRUE,1,
GSE63061,100131454,ILMN_3247543,0.00381608339570611,DBIL5P,DBIL5P,"diazepam binding inhibitor-like 5, pseudogene",TRUE,1,
GSE63061,100131532,ILMN_3291556,0.00172568861123537,LOC100131532,LOC100131532,uncharacterized LOC100131532,TRUE,2,
GSE63061,100131539,ILMN_3276071,0.00104191350734678,ZNF705E,ZNF705E,zinc finger protein 705E,TRUE,1,
GSE63061,100131561,ILMN_3238555,0.000991004194642625,FKSG29,FKSG29,FKSG29,TRUE,1,
GSE63061,100131662,ILMN_1865255,0.00540977246272207,LOC100131662,LOC100131662,uncharacterized LOC100131662,TRUE,1,
GSE63061,100131691,ILMN_3275337,0.00219106577626468,MZF1-AS1,MZF1-AS1,MZF1 antisense RNA 1,TRUE,1,
GSE63061,100131726,ILMN_3235180,0.775377038706291,FAM83A-AS1,FAM83A-AS1,FAM83A antisense RNA 1,TRUE,2,
GSE63061,100131801,ILMN_3209832,0.168867128730689,PET100,PET100,PET100 homolog,TRUE,1,
GSE63061,100131816,ILMN_3239223,0.00191955921805857,UBE2DNL,UBE2DNL,ubiquitin conjugating enzyme E2 D N-terminal like (pseudogene),TRUE,1,
GSE63061,100131902,ILMN_1914874,0.000389223257888907,KRTAP25-1,KRTAP25-1,keratin associated protein 25-1,TRUE,1,
GSE63061,100131980,ILMN_3241350,0.00168689115492424,ZNF705G,ZNF705G,zinc finger protein 705G,TRUE,1,
GSE63061,100131998,ILMN_3246864,0.000588803782751249,RRN3P3,RRN3P3,"RRN3 homolog, RNA polymerase I transcription factor pseudogene 3",TRUE,1,
GSE63061,100132074,ILMN_3307977,0.00319992412778911,FOXO6,FOXO6,forkhead box O6,TRUE,2,
GSE63061,100132215,ILMN_3219248,0.000490504389153896,LOC100132215,LOC100132215,uncharacterized LOC100132215,TRUE,1,
GSE63061,100132234,ILMN_1849318,0.00112026453403209,LINC00543,LINC00543,long intergenic non-protein coding RNA 543,TRUE,1,
GSE63061,100132247,ILMN_3246766,0.149361437858858,NPIPB5,NPIPB5,nuclear pore complex interacting protein family member B5,TRUE,1,
GSE63061,100132341,ILMN_3237636,0.0148152047813455,CLUHP3,CLUHP3,clustered mitochondria homolog pseudogene 3,TRUE,1,
GSE63061,100132354,ILMN_3235046,0.00351325877581827,LINC01512,LINC01512,long intergenic non-protein coding RNA 1512,TRUE,1,
GSE63061,100132396,ILMN_3245033,0.00235657697845321,ZNF705B,ZNF705B,zinc finger protein 705B,TRUE,1,
GSE63061,100132406,ILMN_2155719,0.153064133288418,NBPF10,NBPF10,neuroblastoma breakpoint family member 10,TRUE,4,
GSE63061,100132463,ILMN_3289458,0.0016455754809749,CLDN24,CLDN24,claudin 24,TRUE,1,
GSE63061,100132476,ILMN_1680432,0.00863517583507009,KRTAP4-7,KRTAP4-7,keratin associated protein 4-7,TRUE,1,
GSE63061,100132526,ILMN_3211677,0.00874826015227577,FGD5P1,FGD5P1,"FYVE, RhoGEF and PH domain containing 5 pseudogene 1",TRUE,1,
GSE63061,100132596,ILMN_1781222,0.00164894412792389,XGY2,XGY2,"Xg pseudogene, Y-linked 2",TRUE,1,
GSE63061,100132707,ILMN_3230337,0.0202764436907221,PAXIP1-AS2,PAXIP1-AS2,PAXIP1 antisense RNA 2,TRUE,2,
GSE63061,100132724,ILMN_3200465,0.000399330327799066,DCAF13P3,DCAF13P3,DDB1 and CUL4 associated factor 13 pseudogene 3,TRUE,1,
GSE63061,100132948,ILMN_3293843,0.000894537221074177,FAM27C,FAM27C,family with sequence similarity 27 member C,TRUE,1,
GSE63061,100132967,ILMN_3241201,0.00348234855823001,FAM223A,FAM223A,family with sequence similarity 223 member A (non-protein coding),TRUE,1,
GSE63061,100132979,ILMN_3291594,0.00106936043258799,GOLGA8DP,GOLGA8DP,"golgin A8 family member D, pseudogene",TRUE,1,
GSE63061,100132987,ILMN_1912710,0.00143645639012284,LINC00856,LINC00856,long intergenic non-protein coding RNA 856,TRUE,1,
GSE63061,100132994,ILMN_3238823,0.000851384889183002,CXorf49B,CXorf49B,chromosome X open reading frame 49B,TRUE,1,
GSE63061,100133036,ILMN_3247201,0.00160153110333635,FAM95B1,FAM95B1,family with sequence similarity 95 member B1,TRUE,1,
