ranking_name,k,auc,mean_ad,mean_control
s3_oriented_by_gse85426_auc,20,0.660123456790123,0.179123033830158,-0.179123033830158
oracle_by_gse85426_auc,20,0.660123456790123,0.179123033830158,-0.179123033830158
s3_oriented_by_gse85426_auc,22,0.66,0.180462501270907,-0.180462501270907
oracle_by_gse85426_auc,22,0.66,0.180462501270907,-0.180462501270907
s3_oriented_by_gse85426_auc,21,0.658271604938272,0.178575425812182,-0.178575425812182
oracle_by_gse85426_auc,21,0.658271604938272,0.178575425812182,-0.178575425812182
oracle_by_gse85426_auc,32,0.656543209876543,0.177811943674738,-0.177811943674738
s3_oriented_by_gse85426_auc,23,0.656172839506173,0.179691370323928,-0.179691370323928
oracle_by_gse85426_auc,23,0.656172839506173,0.179691370323928,-0.179691370323928
s3_oriented_by_gse85426_auc,24,0.654814814814815,0.17919578523547,-0.17919578523547
oracle_by_gse85426_auc,24,0.654814814814815,0.17919578523547,-0.17919578523547
oracle_by_gse85426_auc,31,0.654567901234568,0.178047585675877,-0.178047585675877
s3_oriented_by_gse85426_auc,25,0.65320987654321,0.178590586040647,-0.178590586040647
oracle_by_gse85426_auc,25,0.65320987654321,0.178590586040647,-0.178590586040647
s3_oriented_by_gse85426_auc,26,0.652592592592593,0.178900787781574,-0.178900787781574
oracle_by_gse85426_auc,26,0.652592592592593,0.178900787781574,-0.178900787781574
s3_oriented_by_gse85426_auc,1,0.652407407407408,0.134814673424536,-0.134814673424537
oracle_by_gse85426_auc,1,0.652407407407408,0.134814673424536,-0.134814673424537
s3_oriented_by_gse85426_auc,2,0.651975308641975,0.160917364268852,-0.160917364268852
oracle_by_gse85426_auc,2,0.651975308641975,0.160917364268852,-0.160917364268852
oracle_by_gse85426_auc,33,0.651851851851852,0.174967532474541,-0.174967532474541
oracle_by_gse85426_auc,37,0.651358024691358,0.170523185101028,-0.170523185101028
oracle_by_gse85426_auc,34,0.651111111111111,0.174015402930073,-0.174015402930073
oracle_by_gse85426_auc,38,0.650864197530864,0.169547708207955,-0.169547708207955
oracle_by_gse85426_auc,29,0.650493827160494,0.178208886649104,-0.178208886649104
s3_oriented_by_gse85426_auc,27,0.649876543209877,0.178808342658161,-0.178808342658161
oracle_by_gse85426_auc,27,0.649876543209877,0.178808342658161,-0.178808342658161
oracle_by_gse85426_auc,36,0.649012345679012,0.171171326844416,-0.171171326844416
oracle_by_gse85426_auc,39,0.649012345679012,0.16796803124931,-0.16796803124931
oracle_by_gse85426_auc,30,0.648641975308642,0.178085128519829,-0.178085128519829
oracle_by_gse85426_auc,35,0.648641975308642,0.172969709148279,-0.172969709148279
oracle_by_gse85426_auc,41,0.647283950617284,0.165491946814109,-0.165491946814109
s3_oriented_by_gse85426_auc,28,0.647160493827161,0.177892934137923,-0.177892934137923
oracle_by_gse85426_auc,28,0.647160493827161,0.177892934137923,-0.177892934137923
oracle_by_gse85426_auc,40,0.647160493827161,0.1663058405747,-0.1663058405747
oracle_by_gse85426_auc,42,0.64679012345679,0.164300431756295,-0.164300431756295
s3_oriented_by_gse85426_auc,31,0.645432098765432,0.174514571430335,-0.174514571430335
s3_oriented_by_gse85426_auc,30,0.645308641975309,0.177533511342405,-0.177533511342405
s3_oriented_by_gse85426_auc,29,0.645185185185185,0.177775803401128,-0.177775803401128
s3_oriented_by_gse85426_auc,32,0.645061728395062,0.173517088821969,-0.173517088821969
s3_oriented_by_gse85426_auc,36,0.644567901234568,0.168856557071744,-0.168856557071744
s3_oriented_by_gse85426_auc,33,0.644197530864198,0.172423120086978,-0.172423120086978
oracle_by_gse85426_auc,46,0.644197530864198,0.160875799680148,-0.160875799680148
s3_oriented_by_gse85426_auc,35,0.644074074074074,0.169868028326245,-0.169868028326245
s3_oriented_by_gse85426_auc,37,0.643703703703704,0.167210171929828,-0.167210171929828
oracle_by_gse85426_auc,43,0.643703703703704,0.163592098559731,-0.163592098559731
oracle_by_gse85426_auc,48,0.64358024691358,0.160005884783233,-0.160005884783233
s3_oriented_by_gse85426_auc,34,0.643333333333333,0.170535026737632,-0.170535026737632
s3_oriented_by_gse85426_auc,38,0.64320987654321,0.165480441201803,-0.165480441201803
oracle_by_gse85426_auc,44,0.643086419753086,0.162087844024115,-0.162087844024115
oracle_by_gse85426_auc,47,0.642469135802469,0.160253053371726,-0.160253053371726
s3_oriented_by_gse85426_auc,50,0.642098765432099,0.156314344511214,-0.156314344511214
oracle_by_gse85426_auc,45,0.642098765432099,0.161627720122037,-0.161627720122037
