gene_id,gene_symbol,s3_logFC,s3_rank,raw_auc,oriented_auc_s3,oracle_auc,oracle_sign
6128,RPL6,-0.497396043678297,119,0.458827160493827,0.541172839506173,0.541172839506173,-1
6253,RTN2,-0.308649551913342,141,0.458827160493827,0.541172839506173,0.541172839506173,-1
91662,NLRP12,0.2092599340805,419,0.541172839506173,0.541172839506173,0.541172839506173,1
9997,SCO2,0.20610506790543,446,0.459197530864198,0.459197530864198,0.540802469135802,-1
6166,RPL36AL,-0.686679509222695,3,0.459320987654321,0.540679012345679,0.540679012345679,-1
6124,RPL4,-0.310680544495576,311,0.459320987654321,0.540679012345679,0.540679012345679,-1
8766,RAB11A,-0.210193115683329,418,0.459567901234568,0.540432098765432,0.540432098765432,-1
10550,ARL6IP5,-0.251712424052764,445,0.459567901234568,0.540432098765432,0.540432098765432,-1
10063,COX17,-0.51447204263436,10,0.460432098765432,0.539567901234568,0.539567901234568,-1
3684,ITGAM,0.293341634169746,228,0.460432098765432,0.460432098765432,0.539567901234568,-1
84661,DPY30,-0.468037088868965,136,0.460493827160494,0.539506172839506,0.539506172839506,-1
6125,RPL5,-0.430325384849014,249,0.460555555555556,0.539444444444444,0.539444444444444,-1
121260,SLC15A4,0.251622435989464,296,0.539320987654321,0.539320987654321,0.539320987654321,1
567,B2M,-0.286166787488791,401,0.461172839506173,0.538827160493827,0.538827160493827,-1
6556,SLC11A1,0.252560271387828,450,0.538827160493827,0.538827160493827,0.538827160493827,1
6742,SSBP1,-0.287938014520581,74,0.46141975308642,0.53858024691358,0.53858024691358,-1
5706,PSMC6,-0.381236659183769,262,0.461728395061728,0.538271604938272,0.538271604938272,-1
4712,NDUFB6,-0.236475534575676,232,0.46179012345679,0.53820987654321,0.53820987654321,-1
27257,LSM1,-0.340616933120656,252,0.461851851851852,0.538148148148148,0.538148148148148,-1
6727,SRP14,-0.452371969173358,167,0.461975308641975,0.538024691358025,0.538024691358025,-1
7852,CXCR4,0.234915892029957,455,0.461975308641975,0.461975308641975,0.538024691358025,-1
9551,ATP5J2,-0.278766491035623,69,0.462098765432099,0.537901234567901,0.537901234567901,-1
10987,COPS5,-0.354521804698083,176,0.462777777777778,0.537222222222222,0.537222222222222,-1
55505,NOP10,-0.315732662761055,185,0.462777777777778,0.537222222222222,0.537222222222222,-1
11335,CBX3,-0.373687046918101,51,0.462901234567901,0.537098765432099,0.537098765432099,-1
51187,RSL24D1,-0.340348839606079,441,0.463148148148148,0.536851851851852,0.536851851851852,-1
4068,SH2D1A,-0.223526299008981,270,0.463518518518519,0.536481481481482,0.536481481481482,-1
51503,CWC15,-0.333103103598264,33,0.463765432098765,0.536234567901235,0.536234567901235,-1
51121,RPL26L1,-0.336818251623393,114,0.463888888888889,0.536111111111111,0.536111111111111,-1
168537,GIMAP7,-0.639635546037978,30,0.463950617283951,0.536049382716049,0.536049382716049,-1
11237,RNF24,0.204184592771483,471,0.535987654320988,0.535987654320988,0.535987654320988,1
25949,SYF2,-0.355984818464132,94,0.464320987654321,0.535679012345679,0.535679012345679,-1
4830,NME1,-0.343957726678855,84,0.464444444444444,0.535555555555556,0.535555555555556,-1
6152,RPL24,-0.434898466380868,165,0.464567901234568,0.535432098765432,0.535432098765432,-1
8644,AKR1C3,-0.21983034553639,448,0.46462962962963,0.53537037037037,0.53537037037037,-1
54556,ING3,-0.36917532527535,11,0.464814814814815,0.535185185185185,0.535185185185185,-1
23053,ZSWIM8,0.234769081839248,154,0.464876543209877,0.464876543209877,0.535123456790124,-1
9013,TAF1C,0.224986284849453,233,0.465246913580247,0.465246913580247,0.534753086419753,-1
6741,SSB,-0.399719184416402,27,0.465308641975309,0.534691358024691,0.534691358024691,-1
2665,GDI2,-0.242614414281399,436,0.534691358024691,0.465308641975309,0.534691358024691,1
55339,WDR33,-0.224098458148944,72,0.465555555555556,0.534444444444445,0.534444444444445,-1
4694,NDUFA1,-1.07529595383285,2,0.465679012345679,0.534320987654321,0.534320987654321,-1
2242,FES,0.260456751392345,223,0.465740740740741,0.465740740740741,0.534259259259259,-1
6629,SNRPB2,-0.390275406683685,36,0.466111111111111,0.533888888888889,0.533888888888889,-1
1345,COX6C,-0.232371281221419,343,0.466296296296296,0.533703703703704,0.533703703703704,-1
1070,CETN3,-0.334479892002737,42,0.466481481481482,0.533518518518519,0.533518518518519,-1
3015,H2AFZ,-0.304658634541066,187,0.46679012345679,0.53320987654321,0.53320987654321,-1
6129,RPL7,-0.338985657072579,152,0.466851851851852,0.533148148148148,0.533148148148148,-1
26354,GNL3,-0.214714866905887,82,0.467037037037037,0.532962962962963,0.532962962962963,-1
6418,SET,-0.218243021709242,271,0.467160493827161,0.53283950617284,0.53283950617284,-1
53917,RAB24,0.241141405437041,273,0.467160493827161,0.467160493827161,0.53283950617284,-1
51315,KRCC1,-0.20120255813683,303,0.467469135802469,0.532530864197531,0.532530864197531,-1
388962,BOLA3,-0.236319747663783,116,0.467530864197531,0.532469135802469,0.532469135802469,-1
1051,CEBPB,0.229418328498538,358,0.467592592592593,0.467592592592593,0.532407407407407,-1
23405,DICER1,0.203230005696652,347,0.46783950617284,0.46783950617284,0.532160493827161,-1
4190,MDH1,-0.385872523629812,158,0.467901234567901,0.532098765432099,0.532098765432099,-1
2357,FPR1,0.2129706538811,421,0.531913580246914,0.531913580246914,0.531913580246914,1
7979,SHFM1,-0.940338611060393,7,0.46820987654321,0.53179012345679,0.53179012345679,-1
10299,MARCH6,0.320998584472151,209,0.468518518518519,0.468518518518519,0.531481481481482,-1
55900,ZNF302,-0.240421272311262,280,0.468641975308642,0.531358024691358,0.531358024691358,-1
7178,TPT1,-0.240207214548315,411,0.469012345679012,0.530987654320988,0.530987654320988,-1
6916,TBXAS1,0.218255958612878,304,0.530864197530864,0.530864197530864,0.530864197530864,1
