model_id,model_family,feature_strategy,covariate_mode,leakage_class,n_model_features,feature_ids,train_auc,development_auc,final_auc,mean_ad_score_GSE63060,mean_ad_score_GSE63061,mean_ad_score_GSE85426,mean_control_score_GSE63060,mean_control_score_GSE63061,mean_control_score_GSE85426,reaches_final_auc_070,development_minus_final_auc
glmnet_dev_auc_k5_a1_lambda.1se_gene,glmnet_alpha_1,dev_auc_top5_lambda.1se,gene_only,primary_eligible,5,4694;4725;6166;6230;1069,0.861571618037135,0.761408783421024,0.534320987654321,0.595880988320273,0.594141615254606,0.58417472946153,0.563435160515005,0.57007303471255,0.580411455115314,FALSE,0.227087795766703
glmnet_dev_auc_k5_a1_lambda.min_clin,glmnet_alpha_1,dev_auc_top5_lambda.min,gene_plus_age_gender,primary_eligible,5,4694;4725;6166;6230;1069,0.861571618037135,0.761408783421024,0.534320987654321,0.595880988320273,0.594141615254606,0.58417472946153,0.563435160515005,0.57007303471255,0.580411455115314,FALSE,0.227087795766703
glmnet_dev_fdr_concordant_auc_k5_a05_lambda.1se_clin,glmnet_alpha_0.5,dev_fdr_concordant_auc_top5_lambda.1se,gene_plus_age_gender,primary_eligible,5,4694;4725;6166;6230;1069,0.861571618037135,0.761408783421024,0.534320987654321,0.588729574154289,0.587920611920483,0.58323859140359,0.573405880085843,0.576528992137718,0.58141190507935,FALSE,0.227087795766703
glmnet_dev_fdr_concordant_auc_k5_a05_lambda.1se_gene,glmnet_alpha_0.5,dev_fdr_concordant_auc_top5_lambda.1se,gene_only,primary_eligible,5,4694;4725;6166;6230;1069,0.861571618037135,0.761408783421024,0.534320987654321,0.588729574154289,0.587920611920483,0.58323859140359,0.573405880085843,0.576528992137718,0.58141190507935,FALSE,0.227087795766703
glmnet_dev_fdr_concordant_auc_k5_a1_lambda.1se_clin,glmnet_alpha_1,dev_fdr_concordant_auc_top5_lambda.1se,gene_plus_age_gender,primary_eligible,5,4694;4725;6166;6230;1069,0.861571618037135,0.761408783421024,0.534320987654321,0.595880988320273,0.594141615254606,0.58417472946153,0.563435160515005,0.57007303471255,0.580411455115314,FALSE,0.227087795766703
glmnet_dev_fdr_concordant_auc_k5_a1_lambda.1se_gene,glmnet_alpha_1,dev_fdr_concordant_auc_top5_lambda.1se,gene_only,primary_eligible,5,4694;4725;6166;6230;1069,0.861571618037135,0.761408783421024,0.534320987654321,0.595880988320273,0.594141615254606,0.58417472946153,0.563435160515005,0.57007303471255,0.580411455115314,FALSE,0.227087795766703
glmnet_dev_nominal_concordant_auc_k5_a05_lambda.1se_clin,glmnet_alpha_0.5,dev_nominal_concordant_auc_top5_lambda.1se,gene_plus_age_gender,primary_eligible,5,4694;4725;6166;6230;1069,0.861571618037135,0.761408783421024,0.534320987654321,0.588729574154289,0.587920611920483,0.58323859140359,0.573405880085843,0.576528992137718,0.58141190507935,FALSE,0.227087795766703
glmnet_dev_nominal_concordant_auc_k5_a1_lambda.1se_clin,glmnet_alpha_1,dev_nominal_concordant_auc_top5_lambda.1se,gene_plus_age_gender,primary_eligible,5,4694;4725;6166;6230;1069,0.861571618037135,0.761408783421024,0.534320987654321,0.608239116026181,0.604802201230022,0.585504195583049,0.546205078617343,0.558999560653299,0.578717356288866,FALSE,0.227087795766703
glmnet_dev_nominal_concordant_auc_k5_a1_lambda.1se_gene,glmnet_alpha_1,dev_nominal_concordant_auc_top5_lambda.1se,gene_only,primary_eligible,5,4694;4725;6166;6230;1069,0.861571618037135,0.761408783421024,0.534320987654321,0.595880988320273,0.594141615254606,0.58417472946153,0.563435160515005,0.57007303471255,0.580411455115314,FALSE,0.227087795766703
glmnet_dev_p_k5_a05_lambda.1se_clin,glmnet_alpha_0.5,dev_p_top5_lambda.1se,gene_plus_age_gender,primary_eligible,5,6166;4694;1069;6230;4725,0.861571618037135,0.761408783421024,0.534320987654321,0.588729574154289,0.587920611920483,0.58323859140359,0.573405880085843,0.576528992137718,0.58141190507935,FALSE,0.227087795766703
glmnet_dev_p_k5_a05_lambda.1se_gene,glmnet_alpha_0.5,dev_p_top5_lambda.1se,gene_only,primary_eligible,5,6166;4694;1069;6230;4725,0.861571618037135,0.761408783421024,0.534320987654321,0.588729574154289,0.587920611920483,0.58323859140359,0.573405880085843,0.576528992137718,0.58141190507935,FALSE,0.227087795766703
