dataset_accession,gene_id,gene_symbol,s3_rank,s3_logFC,validation_logFC,validation_P.Value,validation_adj.P.Val,direction_concordant,nominal_concordant,fdr_concordant,auc_oriented,s3_adj.P.Val,s3_P.Value,validation_AveExpr,validation_t,validation_B,mapped,auc_ge_060
GSE140829,221443,OARD1,34,-0.254095864348955,-0.0318866289636245,0.0569827209924965,0.41654447211113,TRUE,FALSE,FALSE,0.5488730095717,5.05971393718466e-12,5.14923134361989e-15,8.39631474538242,-1.90883714968093,-5.07112288458847,TRUE,FALSE
GSE140829,432369,ATP5EP2,35,-0.53085684278832,-0.0413568570536244,0.0988017698097812,0.497777839299919,TRUE,FALSE,FALSE,0.527634422830929,5.91713541180918e-12,6.17622818413359e-15,13.2223768550311,-1.6544573858527,-5.51712815102041,TRUE,FALSE
GSE140829,6629,SNRPB2,36,-0.390275406683685,-0.040022466894874,0.108691662198944,0.511978080016065,TRUE,FALSE,FALSE,0.543888668342817,6.32689056341034e-12,6.76902335733584e-15,9.87531626570329,-1.60761274256592,-5.59241568618269,TRUE,FALSE
GSE140829,84324,SARNP,37,-0.650089318969017,-0.0532008984796446,0.251797126572599,0.669682738090592,TRUE,FALSE,FALSE,0.541043624013056,1.00266651305633e-11,1.15122714301129e-14,8.86786890169191,-1.14761797434264,-6.21793223630604,TRUE,FALSE
GSE140829,6161,RPL32,38,-0.318335752031475,-0.0440063110753744,0.00982427643050396,0.229323352683452,TRUE,TRUE,FALSE,0.575669357328746,1.00266651305633e-11,1.12850514836585e-14,13.7330573602216,-2.59410640069523,-3.5601909819837,TRUE,FALSE
GSE140829,7347,UCHL3,39,-0.250370742081416,-0.0170251206043396,0.368297816370492,0.760796257088904,TRUE,FALSE,FALSE,0.529883992766089,1.04415663648489e-11,1.28060544634387e-14,8.16463006959235,-0.900662472561495,-6.46813015892883,TRUE,FALSE
GSE140829,653505,PPIAL4A,40,-0.428632417974085,,,,FALSE,FALSE,FALSE,,1.04472301579219e-11,1.30856178586778e-14,,,,FALSE,
GSE140829,5684,PSMA3,41,-0.389002232699948,-0.0014186690920657,0.962809589990305,0.990185713423931,TRUE,FALSE,FALSE,0.501698204754973,1.20927937727025e-11,1.57731351040049e-14,8.86699046181553,-0.0466567291746476,-6.86893872259818,TRUE,FALSE
GSE140829,1070,CETN3,42,-0.334479892002737,-0.00916169123484212,0.649776078646152,0.896776897816206,TRUE,FALSE,FALSE,0.499029597282872,1.20927937727025e-11,1.57778740314995e-14,7.62693144243423,-0.45440824414945,-6.76764241968484,TRUE,FALSE
GSE140829,51650,MRPS33,43,-0.373374491169618,-0.0653078047644043,0.0308262363902401,0.341760777510935,TRUE,TRUE,FALSE,0.563340831899784,1.30740497861702e-11,1.73993147303032e-14,8.22242425140228,-2.1668074888265,-4.55502664544784,TRUE,FALSE
GSE140829,23658,LSM5,44,-0.464085706040577,-0.0122825822961758,0.735639529854019,0.926599727974345,TRUE,FALSE,FALSE,0.50915266199109,1.88366673230189e-11,2.65429788487819e-14,9.00037737968919,-0.337863322481678,-6.81341562504317,TRUE,FALSE
GSE140829,81892,SLIRP,45,-0.646418546722055,-0.0671877545601785,0.239358789035121,0.661287444381429,TRUE,FALSE,FALSE,0.525605398967844,1.92229294606467e-11,2.75888815911374e-14,9.12346395767258,-1.17830833666663,-6.18264930190931,TRUE,FALSE
