gene_set,database,background,ID,Description,module,GeneRatio,gene_ratio_numeric,BgRatio,bg_ratio_numeric,pvalue,p.adjust,qvalue,Count,geneID,RichFactor,FoldEnrichment,zScore,category,subcategory,term_status
stable_strict_primary,Reactome,candidate_background,R-HSA-156902,Peptide chain elongation,other_or_unclassified,25/84,0.297619047619048,36/348,0.103448275862069,1.16094607091177e-09,2.3838092656055e-08,2.06933545271291e-08,25,RPL36AL/RPS25/RPS27A/RPL32/RPL26/RPL11/RPL21/RPL7/RPL24/RPL23/RPS27/RPS20/RPL5/RPL35A/RPL12/RPL4/RPL35/RPS4X/RPL30/RPL41/RPS3A/RPS14/RPS6/RPL27/RPS18,0.694444444444445,2.87698412698413,6.69941637320407,,,significant_fdr005
stable_strict_primary,Reactome,candidate_background,R-HSA-192823,Viral mRNA Translation,ribosomal_translation,25/84,0.297619047619048,36/348,0.103448275862069,1.16094607091177e-09,2.3838092656055e-08,2.06933545271291e-08,25,RPL36AL/RPS25/RPS27A/RPL32/RPL26/RPL11/RPL21/RPL7/RPL24/RPL23/RPS27/RPS20/RPL5/RPL35A/RPL12/RPL4/RPL35/RPS4X/RPL30/RPL41/RPS3A/RPS14/RPS6/RPL27/RPS18,0.694444444444445,2.87698412698413,6.69941637320407,,,significant_fdr005
stable_strict_primary,Reactome,candidate_background,R-HSA-2408557,Selenocysteine synthesis,other_or_unclassified,25/84,0.297619047619048,36/348,0.103448275862069,1.16094607091177e-09,2.3838092656055e-08,2.06933545271291e-08,25,RPL36AL/RPS25/RPS27A/RPL32/RPL26/RPL11/RPL21/RPL7/RPL24/RPL23/RPS27/RPS20/RPL5/RPL35A/RPL12/RPL4/RPL35/RPS4X/RPL30/RPL41/RPS3A/RPS14/RPS6/RPL27/RPS18,0.694444444444445,2.87698412698413,6.69941637320407,,,significant_fdr005
stable_strict_primary,Reactome,candidate_background,R-HSA-72764,Eukaryotic Translation Termination,ribosomal_translation,25/84,0.297619047619048,36/348,0.103448275862069,1.16094607091177e-09,2.3838092656055e-08,2.06933545271291e-08,25,RPL36AL/RPS25/RPS27A/RPL32/RPL26/RPL11/RPL21/RPL7/RPL24/RPL23/RPS27/RPS20/RPL5/RPL35A/RPL12/RPL4/RPL35/RPS4X/RPL30/RPL41/RPS3A/RPS14/RPS6/RPL27/RPS18,0.694444444444445,2.87698412698413,6.69941637320407,,,significant_fdr005
unstable_primary,GO_BP,candidate_background,GO:0045944,positive regulation of transcription by RNA polymerase II,rna_processing,24/224,0.107142857142857,29/444,0.0653153153153153,0.000215789409035436,0.224205195987818,0.214426528557317,24,ING3/CREBRF/LARP7/COPS5/H2AZ1/GTF2F2/KLF6/HMGB2/ELF4/ARID4B/CEBPZ/UBE2E1/PSMC6/SUB1/HELZ2/GPBP1/CNBP/USP16/UBE3A/FOXO3/CEBPB/STAT6/DEK/BCLAF1,0.827586206896552,1.64039408866995,3.59531375973999,,,ranked_not_significant
unstable_primary,GO_BP,candidate_background,GO:0045935,positive regulation of nucleobase-containing compound metabolic process,other_or_unclassified,34/224,0.151785714285714,47/444,0.105855855855856,0.00110521580922833,0.399080258687871,0.381674448306925,34,ING3/CREBRF/SSBP1/FXR1/LARP7/HSP90AA1/ZSWIM8/COPS5/H2AZ1/GTF2F2/UBE2V2/KLF6/RYBP/HMGB2/ELF4/ARID4B/LSM1/CEBPZ/UBE2E1/PSMC6/SUB1/HELZ2/GPBP1/CNBP/CCT2/USP16/UBE3A/FOXO3/CEBPB/STAT6/DEK/CREB5/ACTN1/BCLAF1,0.723404255319149,1.4338905775076,3.17065089370368,,,ranked_not_significant
unstable_primary,GO_BP,candidate_background,GO:0045893,positive regulation of DNA-templated transcription,other_or_unclassified,27/224,0.120535714285714,36/444,0.0810810810810811,0.00159588493933735,0.399080258687871,0.381674448306925,27,ING3/CREBRF/LARP7/COPS5/H2AZ1/GTF2F2/KLF6/RYBP/HMGB2/ELF4/ARID4B/CEBPZ/UBE2E1/PSMC6/SUB1/HELZ2/GPBP1/CNBP/USP16/UBE3A/FOXO3/CEBPB/STAT6/DEK/CREB5/ACTN1/BCLAF1,0.75,1.48660714285714,3.06982897068907,,,ranked_not_significant
unstable_primary,GO_BP,candidate_background,GO:1902680,positive regulation of RNA biosynthetic process,rna_processing,27/224,0.120535714285714,36/444,0.0810810810810811,0.00159588493933735,0.399080258687871,0.381674448306925,27,ING3/CREBRF/LARP7/COPS5/H2AZ1/GTF2F2/KLF6/RYBP/HMGB2/ELF4/ARID4B/CEBPZ/UBE2E1/PSMC6/SUB1/HELZ2/GPBP1/CNBP/USP16/UBE3A/FOXO3/CEBPB/STAT6/DEK/CREB5/ACTN1/BCLAF1,0.75,1.48660714285714,3.06982897068907,,,ranked_not_significant
unstable_primary,GO_BP,candidate_background,GO:0048522,positive regulation of cellular process,other_or_unclassified,90/224,0.401785714285714,149/444,0.335585585585586,0.00194456189355493,0.399080258687871,0.381674448306925,90,ING3/SSB/AIF1/CREBRF/TXN/SSBP1/FXR1/LARP7/HSP90AA1/SYF2/TCIRG1/APBB3/DPY30/RAB37/ZSWIM8/PCM1/COPS5/CASP1/H2AZ1/GTF2F2/UBE2V2/KLF6/RYBP/PDCD10/HMGB2/ELF4/FES/PLGRKT/ITGAM/VSIR/DCUN1D1/ARID4B/LSM1/HSPA8/ADAM8/S100A8/CEBPZ/UBE2E1/PSMC6/DGKQ/HSPD1/DEF8/SUB1/HELZ2/SLC15A4/LRCH4/GPBP1/RASAL3/ITGAX/CNBP/CALM2/ASAP1/CCT2/DNAJA2/SHKBP1/ABCA7/USP16/APBB1IP/DICER1/UBE3A/FOXO3/LAMTOR3/CEBPB/EIF2A/STAT6/PPM1F/CSF3R/GRN/CASP4/DEK/PPM1B/CREB5/S100A12/HIP1/B2M/SRSF1/GZMA/PPBP/HLA-H/RAB11A/ACTN1/SORL1/TNFSF10/BCLAF1/AKR1C3/MYADM/DUSP1/FPR2/LY96/KIR2DL4,0.604026845637584,1.19726749760307,2.97750290272393,,,ranked_not_significant
unstable_primary,GO_BP,candidate_background,GO:0051254,positive regulation of RNA metabolic process,rna_processing,30/224,0.133928571428571,42/444,0.0945945945945946,0.00319235130197247,0.399080258687871,0.381674448306925,30,ING3/CREBRF/FXR1/LARP7/ZSWIM8/COPS5/H2AZ1/GTF2F2/KLF6/RYBP/HMGB2/ELF4/ARID4B/LSM1/CEBPZ/UBE2E1/PSMC6/SUB1/HELZ2/GPBP1/CNBP/USP16/UBE3A/FOXO3/CEBPB/STAT6/DEK/CREB5/ACTN1/BCLAF1,0.714285714285714,1.41581632653061,2.85448449211511,,,ranked_not_significant
