feature_id,gene_symbol,s3_logFC,base_logFC,base_p_value,base_adj_p_value,adjusted_logFC,adjusted_p_value,adjusted_adj_p_value,dataset_accession,base_direction_concordant,adjusted_direction_concordant,base_nominal_concordant,adjusted_nominal_concordant,same_direction_after_adjustment,abs_logfc_change,adjusted_to_base_abs_ratio
CDC26,CDC26,-0.258705000776052,-0.0419233096191555,0.0505703647461381,0.0614068714774534,-0.0278198564127077,0.182614655132326,0.269952098891265,GSE140829,TRUE,TRUE,FALSE,FALSE,TRUE,0.0141034532064478,0.663589221972979
SNTB2,SNTB2,0.271123835158023,0.0705647543158619,0.0021037454290499,0.0165063102894684,0.0676453248655942,0.00327066888909367,0.0725458931933708,GSE140829,TRUE,TRUE,TRUE,TRUE,TRUE,0.00291942945026773,0.958627653726395
NSA2,NSA2,-0.504034427947287,-0.0983134318945082,0.0294898490417327,0.0467464235474285,-0.0498993578987489,0.227538505592365,0.317930514663304,GSE140829,TRUE,TRUE,TRUE,FALSE,TRUE,0.0484140739957593,0.507553819830963
SOD1,SOD1,-0.405801710980362,-0.0514082066054918,0.0676753336117981,0.0793434945793495,-0.0124366333277162,0.600060861350567,0.637564665184977,GSE140829,TRUE,TRUE,FALSE,FALSE,TRUE,0.0389715732777756,0.241919221636252
TYK2,TYK2,0.302225839418144,0.0465983031789109,0.0308636634804088,0.0467464235474285,0.029232677626753,0.151900404161536,0.257902793673959,GSE140829,TRUE,TRUE,TRUE,FALSE,TRUE,0.0173656255521579,0.627333521448543
CWC27,CWC27,-0.206633671885919,-0.0435906302460319,0.0184555363702954,0.0404468762645459,-0.028101083345478,0.10704723006663,0.242640388151028,GSE140829,TRUE,TRUE,TRUE,FALSE,TRUE,0.0154895469005539,0.644658799078411
GNL3,GNL3,-0.214714866905887,-0.0648635099799077,0.0230209546178811,0.0413623022370481,-0.0378112652283334,0.156842640406386,0.257902793673959,GSE140829,TRUE,TRUE,TRUE,FALSE,TRUE,0.0270522447515742,0.582935848523245
NME1,NME1,-0.343957726678855,-0.0697140755259519,0.0241671377618362,0.0417816406009247,-0.0391259028084232,0.173932948402825,0.266711291096502,GSE140829,TRUE,TRUE,TRUE,FALSE,TRUE,0.0305881727175288,0.561233904534215
RPAP3,RPAP3,-0.234388231089453,-0.0412748188251617,0.0229673873986974,0.0413623022370481,-0.0353303670812414,0.0498044973351483,0.195386874160966,GSE140829,TRUE,TRUE,TRUE,TRUE,TRUE,0.0059444517439203,0.855978731993937
TCEAL8,TCEAL8,-0.245906623611272,-0.0486396418199791,0.0214481797967173,0.0413623022370481,-0.0269643072299432,0.166833406906366,0.261800115453066,GSE140829,TRUE,TRUE,TRUE,FALSE,TRUE,0.0216753345900359,0.554368951353327
BRIX1,BRIX1,-0.26274081500909,-0.0760904346970012,0.00274631736765901,0.0186749581000812,-0.045849679678812,0.0425740183463659,0.188806516144753,GSE140829,TRUE,TRUE,TRUE,TRUE,TRUE,0.0302407550181892,0.602568244765449
RPAIN,RPAIN,-0.298197488907954,-0.0549402278471093,0.0453952496938773,0.0601353735872916,-0.011778591438216,0.589331939194973,0.633547372460038,GSE140829,TRUE,TRUE,TRUE,FALSE,TRUE,0.0431616364088933,0.214389198948977
SNRPD2,SNRPD2,-0.579685442023776,-0.0858238506157309,0.0324987757798099,0.0480416685440668,-0.0422251516081169,0.248004170072152,0.337285671298127,GSE140829,TRUE,TRUE,TRUE,FALSE,TRUE,0.0435986990076141,0.491997868951097
RPL26,RPL26,-0.979339958887419,-0.177726053243695,0.04908411413571,0.0610558492907612,-0.105457361046771,0.22361116856443,0.31678248879961,GSE140829,TRUE,TRUE,TRUE,FALSE,TRUE,0.0722686921969241,0.593370297275266
LDHB,LDHB,-0.497360243768656,-0.12517826238135,0.00325517947240478,0.0197668595704629,-0.0634055646638566,0.0717339018412851,0.215201705523855,GSE140829,TRUE,TRUE,TRUE,FALSE,TRUE,0.0617726977174939,0.506522166529953
CD3D,CD3D,-0.576618970424699,-0.0798535563487918,0.107700366069632,0.122060414878916,0.000230433774659979,0.995035405926994,0.995035405926994,GSE140829,TRUE,FALSE,FALSE,FALSE,FALSE,0.0800839901234517,0.0028857045972188
EEF1B2,EEF1B2,-0.658471254216218,-0.139461462519904,0.0423236725355479,0.0575601946483452,-0.070492506925623,0.26884537285741,0.351567026044305,GSE140829,TRUE,TRUE,TRUE,FALSE,TRUE,0.068968955594281,0.505462266434803
BEX2,BEX2,-0.283036631532104,-0.0747969259831495,0.00467232256963894,0.0231200480599081,-0.0468935518028886,0.0496389295984939,0.195386874160966,GSE140829,TRUE,TRUE,TRUE,TRUE,TRUE,0.0279033741802608,0.626944906979907
TMEM258,TMEM258,-0.244875060483421,-0.0177252123526588,0.349880468090449,0.364161303522712,-0.00366117426064933,0.841100147305603,0.857922150251715,GSE140829,TRUE,TRUE,FALSE,FALSE,TRUE,0.0140640380920095,0.206551785547446
RPL11,RPL11,-0.464055249209586,-0.0614762306046996,0.046748280122502,0.0601353735872916,-0.0415312611424311,0.161821360736602,0.257902793673959,GSE140829,TRUE,TRUE,TRUE,FALSE,TRUE,0.0199449694622685,0.675566161651691
EIF3E,EIF3E,-0.572893727908792,-0.108337960236754,0.00531936030967542,0.0235902065907345,-0.0723726269599102,0.0464304847082268,0.195386874160966,GSE140829,TRUE,TRUE,TRUE,TRUE,TRUE,0.0359653332768433,0.668026486761912
PSMB1,PSMB1,-0.354941265628633,-0.0225929859987751,0.384525703978099,0.392216218057661,-0.00994084143718161,0.698912756037251,0.734939186760821,GSE140829,TRUE,TRUE,FALSE,FALSE,TRUE,0.0126521445615935,0.439996795364746
LPP,LPP,0.232241064720384,0.0637661855718236,0.0231142277207034,0.0413623022370481,0.060579765533915,0.0323375308138813,0.176493344386966,GSE140829,TRUE,TRUE,TRUE,TRUE,TRUE,0.00318642003790854,0.950029627625766
RPL21,RPL21,-0.704005716418618,-0.173776407194343,0.0120341538177117,0.0331752348488269,-0.123997690922716,0.0642605074053092,0.208673510647936,GSE140829,TRUE,TRUE,TRUE,FALSE,TRUE,0.0497787162716276,0.713547327423122
NIFK,NIFK,-0.261530988199056,-0.0716715366716834,0.00720044892523065,0.027026618805994,-0.0419959564777728,0.0822075597649002,0.232921419333884,GSE140829,TRUE,TRUE,TRUE,FALSE,TRUE,0.0296755801939106,0.585950272981448
RPL7,RPL7,-0.338985657072579,-0.105561974549426,0.048311131299326,0.0608362394139661,-0.0782642419677699,0.139338830560831,0.257902793673959,GSE140829,TRUE,TRUE,TRUE,FALSE,TRUE,0.0272977325816563,0.741405627375083
CKS1B,CKS1B,-0.226652117623215,-0.0517522713618662,0.0193083583556699,0.0410302615057986,-0.037505226100259,0.0815232666910818,0.232921419333884,GSE140829,TRUE,TRUE,TRUE,FALSE,TRUE,0.0142470452616072,0.724706860458589
