gene_id,gene_symbol,gene_title,s3_rank,s3_probe_id,s3_logFC,s3_abs_logFC,s3_adj.P.Val,s3_P.Value,s3_direction,gse63061_validation_gene_symbol,gse63061_validation_logFC,gse63061_validation_p_value,gse63061_validation_adj_p_value,gse63061_direction_concordant,gse63061_nominal_concordant,gse63061_fdr_concordant,gse63061_auc_oriented,gse63061_mapped,gse85426_validation_gene_symbol,gse85426_validation_logFC,gse85426_validation_p_value,gse85426_validation_adj_p_value,gse85426_direction_concordant,gse85426_nominal_concordant,gse85426_fdr_concordant,gse85426_auc_oriented,gse85426_mapped,gse140829_validation_gene_symbol,gse140829_validation_logFC,gse140829_validation_p_value,gse140829_validation_adj_p_value,gse140829_direction_concordant,gse140829_nominal_concordant,gse140829_fdr_concordant,gse140829_auc_oriented,gse140829_mapped,gse63061_reversed,gse85426_reversed,gse140829_reversed,cross_mapped_count,cross_direction_count,cross_nominal_count,cross_fdr_count,cross_reversal_count,cross_max_auc,cross_min_auc,near_cohort_anchor,near_cohort_nominal,stable_strict,stable_directional,unstable_reversal,unstable_vanish,unstable_primary,transportability_class,biological_keyword_category,direction_membership,nominal_membership
6647,SOD1,"superoxide dismutase 1, soluble",78,ILMN_1662438,-0.405801710980362,0.405801710980362,2.7377151519885e-10,7.21541752389851e-13,AD_down,SOD1,-0.186624613264732,6.45189986719802e-07,8.3523408579785e-05,TRUE,TRUE,TRUE,0.675238913346934,TRUE,SOD1,-0.279580529868861,0.0153173540171832,0.481199185744497,TRUE,TRUE,FALSE,0.618950617283951,TRUE,SOD1,-0.0514082066054918,0.0669118112228871,0.439174665798519,TRUE,FALSE,FALSE,0.541727316836487,TRUE,FALSE,FALSE,FALSE,2,2,1,0,0,0.618950617283951,0.541727316836487,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,stable_strict,other_or_unclassified,GSE63061|GSE85426|GSE140829,GSE63061|GSE85426
7297,TYK2,tyrosine kinase 2,79,ILMN_1676955,0.302225839418144,0.302225839418144,2.87531388651944e-10,7.6530978661078e-13,AD_up,TYK2,0.159942086111827,1.13299193393736e-06,0.000129727576435828,TRUE,TRUE,TRUE,0.676366369590895,TRUE,TYK2,0.300892009686126,0.0358376993262327,0.549945081146952,TRUE,TRUE,FALSE,0.560864197530864,TRUE,TYK2,0.0465983031789109,0.0297478008531332,0.337947873910352,TRUE,TRUE,FALSE,0.550108067575317,TRUE,FALSE,FALSE,FALSE,2,2,2,0,0,0.560864197530864,0.550108067575317,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,stable_strict,other_or_unclassified,GSE63061|GSE85426|GSE140829,GSE63061|GSE85426|GSE140829
10283,CWC27,CWC27 spliceosome associated protein homolog,81,ILMN_1686194,-0.206633671885919,0.206633671885919,4.18144594113447e-10,1.1597092594661e-12,AD_down,CWC27,-0.10034632856779,1.78123188443813e-05,0.000906449114525182,TRUE,TRUE,TRUE,0.652313969719747,TRUE,CWC27,-0.173764047262751,0.203159868637607,0.722696462386996,TRUE,FALSE,FALSE,0.561728395061729,TRUE,CWC27,-0.0435906302460319,0.0172840759445775,0.285682605301507,TRUE,TRUE,FALSE,0.558731418993428,TRUE,FALSE,FALSE,FALSE,2,2,1,0,0,0.561728395061729,0.558731418993428,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,stable_strict,rna_processing,GSE63061|GSE85426|GSE140829,GSE63061|GSE140829
26354,GNL3,G protein nucleolar 3,82,ILMN_1806106,-0.214714866905887,0.214714866905887,4.20000368661317e-10,1.18365533676275e-12,AD_down,GNL3,-0.0975316703708829,0.00166514092386416,0.0213708638987531,TRUE,TRUE,TRUE,0.61113497261892,TRUE,GNL3,-0.0180333642143187,0.874424724912256,0.976669058871106,TRUE,FALSE,FALSE,0.532962962962963,TRUE,GNL3,-0.0648635099799077,0.022662406426517,0.313906223293997,TRUE,TRUE,FALSE,0.564906709011513,TRUE,FALSE,FALSE,FALSE,2,2,1,0,0,0.564906709011513,0.532962962962963,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,stable_strict,other_or_unclassified,GSE63061|GSE85426|GSE140829,GSE63061|GSE140829
4830,NME1,NME/NM23 nucleoside diphosphate kinase 1,84,ILMN_1741133,-0.343957726678855,0.343957726678855,4.71366080198256e-10,1.36148988330508e-12,AD_down,NME1,-0.192162229537402,1.66572984016376e-07,3.04061258340858e-05,TRUE,TRUE,TRUE,0.670568023193386,TRUE,NME1,-0.0690698265617516,0.491788482399241,0.860230665235685,TRUE,FALSE,FALSE,0.535555555555556,TRUE,NME1,-0.0697140755259519,0.0239101866099843,0.316806724468258,TRUE,TRUE,FALSE,0.556570067487098,TRUE,FALSE,FALSE,FALSE,2,2,1,0,0,0.556570067487098,0.535555555555556,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,stable_strict,other_or_unclassified,GSE63061|GSE85426|GSE140829,GSE63061|GSE140829
79657,RPAP3,RNA polymerase II associated protein 3,85,ILMN_1766916,-0.234388231089453,0.234388231089453,4.79311518826e-10,1.40083738083899e-12,AD_down,RPAP3,-0.0855976370990835,0.000469966798915389,0.00907658769471529,TRUE,TRUE,TRUE,0.618007086867819,TRUE,RPAP3,-0.110561898069151,0.345352608607069,0.802529998926704,TRUE,FALSE,FALSE,0.549012345679012,TRUE,RPAP3,-0.0412748188251617,0.0215296196527664,0.307355450959892,TRUE,TRUE,FALSE,0.55698910502404,TRUE,FALSE,FALSE,FALSE,2,2,1,0,0,0.55698910502404,0.549012345679012,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,stable_strict,other_or_unclassified,GSE63061|GSE85426|GSE140829,GSE63061|GSE140829
90843,TCEAL8,transcription elongation factor A like 8,90,ILMN_2402272,-0.245906623611272,0.245906623611272,5.54203073680585e-10,1.70648616184722e-12,AD_down,TCEAL8,-0.0986192737428734,4.65453692880232e-05,0.0018242598280856,TRUE,TRUE,TRUE,0.64850209384731,TRUE,TCEAL8,-0.0975962569550372,0.284266886395035,0.77245141485814,TRUE,FALSE,FALSE,0.585246913580247,TRUE,TCEAL8,-0.0486396418199791,0.0205311875930435,0.302083624717983,TRUE,TRUE,FALSE,0.559415111816859,TRUE,FALSE,FALSE,FALSE,2,2,1,0,0,0.585246913580247,0.559415111816859,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,stable_strict,other_or_unclassified,GSE63061|GSE85426|GSE140829,GSE63061|GSE140829
55299,BRIX1,"BRX1, biogenesis of ribosomes",92,ILMN_1679800,-0.26274081500909,0.26274081500909,6.22232480238885e-10,1.94843425783274e-12,AD_down,BRIX1,-0.134023765839252,3.46481083142123e-06,0.000281933592018692,TRUE,TRUE,TRUE,0.661065177708579,TRUE,BRIX1,-0.0849844055211682,0.437707995809676,0.848080139597873,TRUE,FALSE,FALSE,0.578024691358025,TRUE,BRIX1,-0.0760904346970012,0.00263845702758296,0.142503420608002,TRUE,TRUE,FALSE,0.593026333201006,TRUE,FALSE,FALSE,FALSE,2,2,1,0,0,0.593026333201006,0.578024691358025,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,stable_strict,ribosomal_translation,GSE63061|GSE85426|GSE140829,GSE63061|GSE140829
84268,RPAIN,RPA interacting protein,93,ILMN_1770339,-0.298197488907954,0.298197488907954,6.29028541001503e-10,1.98612946769954e-12,AD_down,RPAIN,-0.13739609256237,5.06532252578575e-06,0.000365264386700022,TRUE,TRUE,TRUE,0.663964350907334,TRUE,RPAIN,-0.0559465675708677,0.562278981389615,0.887180557105448,TRUE,FALSE,FALSE,0.542037037037037,TRUE,RPAIN,-0.0549402278471093,0.044735990832998,0.386736663035427,TRUE,TRUE,FALSE,0.557077323452869,TRUE,FALSE,FALSE,FALSE,2,2,1,0,0,0.557077323452869,0.542037037037037,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,stable_strict,other_or_unclassified,GSE63061|GSE85426|GSE140829,GSE63061|GSE140829
6633,SNRPD2,small nuclear ribonucleoprotein D2 polypeptide,96,ILMN_2369785,-0.579685442023776,0.579685442023776,6.91984687257659e-10,2.25713913436687e-12,AD_down,SNRPD2,-0.349408935971163,2.48896913173326e-07,4.12976824663751e-05,TRUE,TRUE,TRUE,0.670836465156233,TRUE,SNRPD2,-0.329982274670133,0.00629270499571897,0.473253149798637,TRUE,TRUE,FALSE,0.62,TRUE,SNRPD2,-0.0858238506157309,0.032510596262551,0.349950787505789,TRUE,TRUE,FALSE,0.547924661461779,TRUE,FALSE,FALSE,FALSE,2,2,2,0,0,0.62,0.547924661461779,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,stable_strict,rna_processing,GSE63061|GSE85426|GSE140829,GSE63061|GSE85426|GSE140829
